1;11;7.29
1;14;4.63
1;25;4.54
1;30;3.19
1;31;4.61
1;32;6.61
2;29;2.51
2;35;3.93
2;36;4.07
3;4;2.0
3;12;2.48
3;17;2.92
3;28;2.9
3;31;3.62
4;17;2.96
4;22;5.25
4;31;3.8
4;32;3.58
5;20;5.53
5;24;7.79
5;28;7.02
5;33;2.72
5;35;5.73
6;12;3.29
6;13;2.52
6;15;6.6
6;17;4.56
6;27;4.3
6;33;2.87
6;37;2.31
7;11;6.29
7;30;2.76
8;15;3.97
8;16;2.38
8;21;3.04
9;11;7.54
9;23;4.51
9;34;3.03
10;13;3.89
10;16;3.09
10;17;4.21
10;21;2.39
10;22;4.79
11;14;3.33
11;23;5.2
11;26;9.78
11;30;5.0
11;34;7.95
12;17;3.56
12;28;4.66
12;33;2.98
13;15;4.84
13;16;1.19
13;17;3.92
14;23;3.53
14;30;5.18
14;32;2.62
15;27;3.54
15;36;3.48
16;21;4.96
17;22;4.98
18;19;1.16
18;20;2.46
18;28;3.27
19;25;3.65
19;28;2.11
20;24;2.65
22;23;3.42
22;32;3.18
23;32;2.64
25;28;5.76
25;31;3.95
26;34;2.74
27;29;3.33
27;35;3.82
27;36;2.33
27;37;2.76
28;31;4.17
28;33;6.8
29;35;2.2
29;36;2.69
31;32;4.08
33;35;3.94
33;37;2.05
35;37;1.91
